n_break,n_exit,vol_mult,oi_threshold,max_hold,stop_atr_mult,avg_sharpe,avg_return,avg_drawdown,avg_win_rate,total_trades,positive_ratio,tested_symbols,score
5,5,1.2,0.01,5,1.5,0.035979871499499425,0.00010920325225189003,0.1964037025095932,0.4502783915485075,1318,0.631578947368421,57,0.7234771006150089
5,5,1.2,0.01,10,2.5,0.08354462102650335,-3.0053435113199518e-05,0.24203882369421795,0.42464902043590724,1166,0.6491228070175439,57,0.7199668723786314
3,5,1.2,0.02,5,1.5,0.07343301071650016,-5.034771419507726e-05,0.2119321143206645,0.44857034232669074,1393,0.6666666666666666,57,0.7126901480238834
7,5,1.2,0.01,10,2.5,0.10762662677309594,-1.1453365544096832e-05,0.23775720282190663,0.41552385148537857,1057,0.5614035087719298,57,0.7090714542326496
3,5,1.2,0.01,5,1.5,0.0704217177786735,-1.6514254257931642e-05,0.21382738675748905,0.4487968097282943,1472,0.631578947368421,57,0.7076102750221285
5,5,1.2,0.03,10,1.5,0.0947950876056883,-9.278770349525924e-05,0.24346592513392265,0.41428171998249874,1061,0.6491228070175439,57,0.7076047411590279
5,5,1.2,0.01,10,2.0,0.09249074410836065,-9.594306742977158e-05,0.24598443079012117,0.4252998410357941,1167,0.6491228070175439,57,0.7048340887942819
7,5,1.2,0.02,10,2.0,0.08170031342442682,-3.382647746433952e-05,0.23768409783775357,0.4224012653801202,1007,0.6140350877192983,57,0.7033009027100218
7,3,1.2,0.02,5,1.5,0.01640298297667546,0.00014792164988712905,0.18952126989774176,0.4263229169415764,1137,0.5789473684210527,57,0.7005958286166845
3,3,1.2,0.01,5,1.5,0.017763973748151217,9.362476133232655e-05,0.20501796783048565,0.43568417096065776,1476,0.6140350877192983,57,0.6976602048525765
3,5,1.5,0.03,10,2.5,0.07456258719655084,5.831281453955987e-06,0.17172234932482675,0.4189778660949428,615,0.5789473684210527,57,0.6970613588496141
7,5,1.2,0.03,5,1.5,0.012179108360764789,0.0001467025345709079,0.1886047490343074,0.4332995555440532,1081,0.5789473684210527,57,0.6970295796202363
3,3,1.2,0.02,5,1.5,0.030409156273882403,4.746310011215429e-05,0.20326177327828268,0.435668354507387,1397,0.6140350877192983,57,0.6918331101352669
7,3,1.2,0.03,10,2.5,0.013422294653172536,7.280419440666641e-05,0.20696426358155923,0.38258077015182285,976,0.6140350877192983,57,0.6875114002415809
7,3,1.2,0.01,5,1.5,-0.0010228753964977315,0.00018139260668802588,0.1913217844576922,0.4253427201357252,1195,0.543859649122807,57,0.6846039508441821
7,3,1.2,0.03,5,2.0,-0.02854186215586089,0.00022224933865165773,0.17777035666985064,0.4265811580484335,1081,0.5614035087719298,57,0.6845552358137879
5,3,1.2,0.01,5,2.0,0.014455199175952926,8.238837902693385e-05,0.19193515845795686,0.4401902594854972,1318,0.5964912280701754,57,0.6844426059630688
7,3,1.2,0.03,5,2.5,-0.031166618629795216,0.00022185542141507354,0.1778281709713048,0.4265811580484335,1081,0.5614035087719298,57,0.6824596197823025
5,3,1.2,0.01,5,2.5,0.01162478899371831,8.199907020603468e-05,0.19222658272444862,0.4401902594854972,1318,0.5964912280701754,57,0.6821945479276803
